Bin	Rank	Count	Hamming_distance	Match
(0.0, 0.05)	Phylum	5	0	False
(0.0, 0.05)	Kingdom	3	3	False
(0.0, 0.05)	Kingdom	1	4	False
(0.15, 0.35)	Species	58644	5	False
(0.15, 0.35)	Species	40371	4	False
(0.15, 0.35)	Species	29982	3	False
(0.15, 0.35)	Species	18110	2	False
(0.15, 0.35)	Species	7079	1	False
(0.15, 0.35)	Genus	2395	5	False
(0.15, 0.35)	Genus	1699	4	False
(0.15, 0.35)	Genus	1403	3	False
(0.15, 0.35)	Species	1236	0	False
(0.15, 0.35)	Genus	987	2	False
(0.15, 0.35)	Phylum	828	0	True
(0.15, 0.35)	Kingdom	766	5	True
(0.15, 0.35)	Genus	643	1	False
(0.15, 0.35)	Family	428	5	False
(0.15, 0.35)	Family	404	4	False
(0.15, 0.35)	Family	397	3	False
(0.15, 0.35)	Phylum	375	2	True
(0.15, 0.35)	Kingdom	368	4	True
(0.15, 0.35)	Phylum	350	1	True
(0.15, 0.35)	Phylum	327	5	True
(0.15, 0.35)	Phylum	322	3	True
(0.15, 0.35)	Phylum	293	4	True
(0.15, 0.35)	Order	273	5	False
(0.15, 0.35)	Family	271	2	False
(0.15, 0.35)	Class	269	5	False
(0.15, 0.35)	Kingdom	251	2	True
(0.15, 0.35)	Kingdom	249	3	True
(0.15, 0.35)	Kingdom	247	1	True
(0.15, 0.35)	Phylum	216	5	False
(0.15, 0.35)	Class	208	4	False
(0.15, 0.35)	Genus	207	0	False
(0.15, 0.35)	Family	181	1	False
(0.15, 0.35)	Order	174	4	False
(0.15, 0.35)	Order	174	3	False
(0.15, 0.35)	Class	139	3	False
(0.15, 0.35)	Kingdom	132	0	True
(0.15, 0.35)	Class	129	2	False
(0.15, 0.35)	Order	126	2	False
(0.15, 0.35)	Family	124	0	False
(0.15, 0.35)	Phylum	108	4	False
(0.15, 0.35)	Family	89	0	True
(0.15, 0.35)	Phylum	84	3	False
(0.15, 0.35)	Phylum	72	2	False
(0.15, 0.35)	Order	66	1	False
(0.15, 0.35)	Class	64	1	False
(0.15, 0.35)	Family	51	1	True
(0.15, 0.35)	Family	48	2	True
(0.15, 0.35)	Phylum	40	1	False
(0.15, 0.35)	Order	39	2	True
(0.15, 0.35)	Family	34	4	True
(0.15, 0.35)	Order	33	1	True
